red,ir
73915, 116506
73848, 116437
73781, 116396
73764, 116404
73751, 116418
73723, 116410
73674, 116392
73633, 116351
73625, 116405
73620, 116401
73607, 116396
73580, 116400
73593, 116451
73601, 116478
73531, 116458
73510, 116508
73579, 116574
73589, 116495
73531, 116374
73468, 116289
73448, 116208
73474, 116190
73500, 116162
73540, 116185
73606, 116219
73652, 116281
73651, 116295
73610, 116278
73626, 116315
73760, 116372
73834, 116463
73823, 116489
73827, 116526
73844, 116559
73872, 116578
73903, 116622
73899, 116655
73928, 116685
73990, 116728
74003, 116769
73969, 116783
73923, 116814
73926, 116815
74014, 116862
74074, 116925
74008, 116930
74003, 116900
74026, 116931
74019, 116924
73993, 116921
74000, 116909
74006, 116903
74003, 116907
73995, 116912
73987, 116910
73994, 116911
73984, 116928
73978, 116921
73979, 116928
73983, 116944
73969, 116942
73967, 116949
73962, 116941
73963, 116935
73950, 116927
73924, 116902
73894, 116874
73889, 116860
73863, 116838
73863, 116843
73881, 116854
73889, 116882
73893, 116911
73887, 116913
73911, 116919
73955, 116944
73985, 116958
73997, 116972
74000, 116994
74036, 116990
74057, 117001
74076, 117020
74087, 117026
74080, 117040
74120, 116976
74147, 117025
74149, 117025
74163, 117028
74174, 117027
74180, 117018
74175, 117009
74181, 117020
74196, 117032
74192, 117044
74186, 117046
74174, 117052
74172, 117064
74142, 117066
74127, 117077
74121, 117094
74109, 117107
74081, 117116
74057, 117115
73980, 117165
73963, 117170
73956, 117202
73959, 117261
73954, 117340
73933, 117360
73929, 117340
73927, 117321
73933, 117348
73938, 117343
73898, 117274
73862, 117202
73867, 117104
73871, 117006
73865, 116949
73878, 116967
73885, 116994
73928, 117011
73960, 117018
73981, 117034
73983, 117041
73989, 117036
73983, 117033
73986, 117027
73995, 117024
74004, 117020
74019, 117025
74026, 117028
74025, 117032
74038, 117063
74066, 117085
74076, 117121
74079, 117124
74091, 117131
74096, 117127
74114, 117141
74113, 117143
74097, 117131
74083, 117141
74099, 117123
74098, 117139
74083, 117117
74027, 117087
74000, 117051
73998, 116999
73997, 116980
73946, 116999
73915, 116999
73931, 116961
73949, 116947
73962, 116965
73966, 116975
73979, 117026
73974, 117000
73938, 116985
73943, 116990
73930, 116991
73934, 117016
73926, 117019
73932, 117021
73959, 117046
73970, 117074
73975, 117092
73978, 117089
73974, 117060
73960, 117019
73961, 117012
73958, 117001
73974, 117009
73980, 117004
73991, 117031
73994, 117046
74005, 117063
74017, 117074
74025, 117083
74022, 117105
74058, 117102
74027, 117132
74030, 117125
74029, 117131
74025, 117135
74032, 117170
74043, 117199
74050, 117242
74044, 117235
74034, 117246
73995, 117259
73990, 117278
73959, 117232
73936, 117235
73912, 117255
73890, 117238
73875, 117203
73870, 117173
73851, 117125
73832, 117068
73828, 117023
73820, 116934
73822, 116859
73827, 116842
73848, 116861
73860, 116896
73874, 116940
73901, 116969
73926, 116987
73946, 117028
73957, 117041
73963, 117024
73967, 117028
73981, 117036
73973, 117027
73981, 117019
73976, 117020
73986, 117032
73995, 117042
73973, 117042
73992, 116996
73989, 117027
73999, 117044
74022, 117053
74021, 117058
74043, 117078
74064, 117105
74057, 117097
74032, 117097
74034, 117116
74061, 117143
74077, 117182
74055, 117237
74052, 117299
74054, 117362
74063, 117419
74062, 117495
74043, 117545
74024, 117638
74017, 117718
74033, 117699
74014, 117727
74001, 117753
73996, 117759
73984, 117752
73955, 117708
73916, 117655
73896, 117630
73857, 117551
73800, 117418
73766, 117377
73752, 117334
73724, 117233
73704, 117164
73693, 117124
73685, 117062
73676, 116989
73666, 116882
73660, 116792
73675, 116755
73683, 116755
73706, 116771
73740, 116811
73773, 116881
73794, 116909
73804, 116888
73816, 116866
73828, 116870
73854, 116903
73858, 116943
73872, 116957
73890, 116980
73905, 117003
73913, 117027
73918, 117052
73924, 117069
73922, 117086
73928, 117113
73935, 117111
73944, 117123
73932, 117136
73930, 117141
73912, 117149
73908, 117147
73893, 117147
73893, 117136
73867, 117155
73852, 117177
73829, 117203
73832, 117211
73818, 117210
73806, 117199
73804, 117205
73799, 117196
73792, 117173
73772, 117152
73732, 117116
73744, 117031
73744, 117030
73738, 116999
73743, 116981
73749, 116950
73762, 116920
73767, 116927
73789, 116944
73808, 116957
73833, 116971
73837, 116968
73853, 116967
73857, 116962
73862, 116936
73870, 116926
73872, 116921
73889, 116920
73902, 116927
73926, 116935
73911, 116959
73917, 116953
73933, 116968
73936, 116986
73942, 116991
73942, 117003
73944, 117001
73951, 117007
73947, 117003
73956, 117005
73966, 117008
73976, 117010
73985, 117013
73986, 117019
73974, 117022
73980, 117035
73974, 117033
73957, 117033
73936, 117071
73920, 117109
73907, 117133
73895, 117163
73890, 117181
73881, 117146
73883, 117126
73893, 117129
73897, 117141
73888, 117160
73877, 117152
73874, 117150
73877, 117135
73869, 117122
73885, 117111
73908, 117080
73912, 117065
73927, 117068
73934, 117049
73943, 117046
73950, 117026
73973, 117005
73986, 117025
73992, 117055
73998, 117070
74010, 117079
74022, 117084
74031, 117092
74052, 117107
74046, 117122
74055, 117132
74054, 117140
74052, 117151
74053, 117137
74045, 117132
74026, 117108
74009, 117080
74009, 117071
74016, 117067
74012, 117067
74008, 117069
74027, 117067
74029, 117081
74041, 117077
74043, 117079
74041, 117086
74023, 117084
74028, 117081
74007, 117082
73974, 117075
73955, 117101
73943, 117118
73922, 117115
73931, 117098
73941, 117084
73947, 117102
73946, 117098
73954, 117088
73999, 117081
73986, 117100
74005, 117062
74008, 117065
74016, 117073
74040, 117067
74040, 117062
74045, 117091
74056, 117091
74055, 117078
74065, 117069
74086, 117089
74097, 117102
74101, 117107
74114, 117116
74134, 117135
74142, 117152
74146, 117165
74152, 117172
74166, 117199
74173, 117216
74170, 117220
74156, 117210
74160, 117213
74162, 117221
74164, 117224
74151, 117198
74134, 117184
74148, 117199
74167, 117213
74154, 117195
74108, 117183
74102, 117200
74098, 117224
74089, 117259
74077, 117287
74084, 117305
74081, 117357
74073, 117379
74044, 117368
74069, 117332
74092, 117398
74115, 117383
74128, 117409
74132, 117443
74109, 117433
74079, 117403
74082, 117361
74102, 117355
74122, 117352
74121, 117347
74121, 117357
74122, 117358
74130, 117373
74130, 117377
74121, 117355
74120, 117328
74114, 117325
74138, 117325
74118, 117335
74131, 117299
74145, 117322
74147, 117316
74135, 117305
74151, 117300
74144, 117278
74134, 117273
74135, 117262
74133, 117259
74135, 117251
74129, 117239
74123, 117240
74123, 117240
74124, 117235
74128, 117241
74142, 117254
74149, 117256
74149, 117265
74120, 117265
74102, 117237
74086, 117240
74093, 117219
74106, 117216
74096, 117219
74105, 117205
74130, 117195
74147, 117193
74148, 117184
74164, 117169
74167, 117157
74166, 117157
74169, 117152
74163, 117162
74151, 117187
74158, 117208
74189, 117231
74193, 117283
74187, 117337
74164, 117372
74151, 117382
74150, 117367
74164, 117366
74176, 117384
74169, 117374
74170, 117364
74169, 117354
74166, 117331
74184, 117355
74187, 117365
74188, 117363
74186, 117358
74187, 117364
74188, 117357
74183, 117362
74177, 117355
74164, 117338
74131, 117325
74178, 117275
74179, 117304
74156, 117279
74157, 117248
74181, 117244
74198, 117216
74168, 117146
74149, 117110
74158, 117084
74163, 117064
74170, 117073
74178, 117085
74182, 117104
74192, 117142
74225, 117205
74279, 117246
74308, 117265
74336, 117290
74374, 117318
74359, 117368
74349, 117387
74310, 117408
74321, 117404
74333, 117416
74333, 117460
74307, 117470
74300, 117498
74296, 117497
74291, 117514
74265, 117514
74241, 117502
74245, 117490
74241, 117493
74227, 117472
74230, 117478
74228, 117475
74227, 117472
74232, 117446
74215, 117434
74217, 117391
74200, 117330
74186, 117270
74178, 117219
74187, 117195
74191, 117169
74196, 117134
74182, 117121
74197, 117132
74224, 117153
74234, 117184
74241, 117177
74246, 117169
74245, 117150
74253, 117129
74276, 117135
74265, 117106
74272, 117109
74272, 117096
74294, 117099
74295, 117116
74293, 117129
74304, 117150
74329, 117175
74336, 117202
74322, 117229
74311, 117248
74306, 117284
74313, 117325
74311, 117381
74301, 117446
74285, 117515
74276, 117561
74273, 117586
74277, 117594
74281, 117620
74288, 117634
74235, 117641
74261, 117601
74258, 117612
74246, 117576
74242, 117558
74243, 117577
74232, 117563
74215, 117520
74213, 117483
74197, 117459
74198, 117448
74192, 117443
74197, 117432
74190, 117418
74183, 117411
74189, 117405
74183, 117401
74188, 117398
74193, 117397
74213, 117386
74199, 117423
74204, 117400
74201, 117396
74213, 117393
74229, 117401
74234, 117419
74243, 117426
74240, 117422
74261, 117433
74249, 117441
74254, 117448
74265, 117447
74253, 117463
74264, 117479
74256, 117479
74263, 117477
74251, 117496
74248, 117531
74241, 117521
74253, 117509
74251, 117539
74252, 117535
74241, 117513
74237, 117487
74236, 117458
74244, 117460
74241, 117478
74228, 117467
74213, 117441
74209, 117424
74221, 117431
74217, 117421
74217, 117419
74226, 117404
74240, 117386
74237, 117345
74229, 117273
74234, 117184
74234, 117084
74217, 116954
74186, 116871
74161, 116768
74158, 116708
74186, 116706
74252, 116762
74344, 116836
74423, 116916
74443, 116910
74391, 116847
74339, 116828
74316, 116860
74293, 116902
74222, 116987
74194, 117087
74181, 117141
74186, 117261
74189, 117415
74213, 117574
74261, 117700
74292, 117822
74294, 117854
74265, 117799
74247, 117787
74246, 117762
74212, 117650
74203, 117566
74202, 117479
74209, 117389
74233, 117334
74254, 117317
74274, 117314
74277, 117329
74277, 117333
74288, 117335
74293, 117312
74306, 117294
74341, 117295
74322, 117336
74335, 117309
74343, 117316
74337, 117323
74337, 117331
74334, 117354
74339, 117355
74343, 117364
74340, 117367
74326, 117351
74283, 117314
74256, 117287
74261, 117299
74300, 117320
74314, 117325
74300, 117334
74287, 117336
74267, 117327
74253, 117334
74251, 117342
74252, 117379
74242, 117401
74221, 117420
74195, 117448
74180, 117455
74167, 117489
74155, 117498
74156, 117500
74156, 117506
74150, 117519
74138, 117527
74124, 117550
74111, 117567
74096, 117558
74081, 117535
74072, 117439
74074, 117376
74087, 117392
74083, 117418
74096, 117360
74111, 117334
74132, 117306
74149, 117309
74167, 117305
74180, 117308
74190, 117303
74204, 117302
74221, 117323
74225, 117339
74232, 117363
74242, 117356
74234, 117355
74242, 117371
74244, 117379
74240, 117367
74247, 117391
74222, 117398
74211, 117370
74187, 117330
74197, 117292
74211, 117283
74205, 117267
74187, 117241
74169, 117209
74182, 117222
74202, 117234
74195, 117241
74170, 117224
74162, 117212
74177, 117223
74160, 117215
74147, 117201
74161, 117192
74179, 117201
74188, 117199
74148, 117170
74137, 117138
74119, 117132
74131, 117106
74156, 117104
74185, 117128
74175, 117141
74155, 117135
74160, 117146
74181, 117150
74196, 117165
74194, 117160
74170, 117156
74165, 117151
74168, 117144
74177, 117143
74176, 117150
74181, 117167
74180, 117173
74174, 117170
74173, 117159
74176, 117174
74183, 117178
74186, 117192
74183, 117204
74174, 117193
74187, 117196
74184, 117201
74187, 117194
74188, 117198
74199, 117196
74200, 117203
74203, 117208
74210, 117214
74217, 117220
74215, 117222
74222, 117229
74230, 117240
74226, 117255
74233, 117252
74201, 117266
74231, 117219
74237, 117270
74240, 117275
74237, 117286
74243, 117300
74231, 117290
74236, 117287
74231, 117288
74236, 117281
74235, 117281
74229, 117278
74224, 117262
74215, 117263
74222, 117261
74235, 117261
74228, 117268
74227, 117266
74220, 117265
74244, 117263
74223, 117293
74214, 117257
74227, 117273
74231, 117269
74224, 117279
74237, 117276
74229, 117287
74242, 117282
74240, 117290
74236, 117285
74227, 117293
74215, 117285
74215, 117279
74219, 117277
74228, 117298
74229, 117294
74235, 117308
74237, 117310
74243, 117311
74241, 117314
74253, 117325
74254, 117327
74251, 117342
74260, 117338
74264, 117346
74268, 117352
74266, 117361
74250, 117354
74250, 117349
74251, 117353
74256, 117362
74250, 117350
74251, 117350
74247, 117332
74244, 117334
74257, 117331
74263, 117341
74256, 117338
74253, 117334
74262, 117326
74260, 117344
74266, 117347
74264, 117340
74256, 117330
74256, 117335
74249, 117341
74247, 117333
74245, 117342
74242, 117337
74247, 117333
74229, 117332
74235, 117319
74235, 117321
74234, 117320
74235, 117313
74246, 117312
74244, 117308
74225, 117308
74233, 117281
74245, 117295
74253, 117318
74259, 117328
74262, 117343
74255, 117346
74267, 117345
74274, 117351
74271, 117352
74270, 117357
74277, 117373
74275, 117374
74275, 117370
74271, 117373
74275, 117376
74274, 117383
74283, 117396
74291, 117398
74310, 117398
74277, 117411
74280, 117366
74271, 117368
74278, 117382
74273, 117367
74266, 117352
74261, 117349
74253, 117346
74257, 117334
74259, 117342
74264, 117345
74274, 117350
74273, 117354
74268, 117357
74272, 117360
74284, 117367
74274,117368